sp,postri,family,order,q0.025,q0.05,q0.25,q0.5,q0.75,q0.95,q0.975,crosscount
Rhea_pennata,-0.306347473231069,Rheidae,RHEIFORMES,-1.1727505,-1.037615,-0.6159596,-0.3249309,-0.04640833,0.3514391,0.46577075,1
Casmerodius_albus,-0.513001251007592,Ardeidae,PELECANIFORMES,-1.1648145,-1.058579,-0.7668884,-0.527463,-0.2689546,0.1072504,0.2306853,1
Ciconia_ciconia,0.382308359473626,Ciconiidae,CICONIIFORMES,-0.4249443,-0.3038545,0.09596428,0.3814787,0.66446,1.076346,1.197102,1
Aix_galericulata,0.796736584755245,Anatidae,ANSERIFORMES,0.15163575,0.2561568,0.5653395,0.7814688,0.9934338,1.3089,1.3945645,1
Aix_sponsa,0.0501601842801199,Anatidae,ANSERIFORMES,-0.2263652,-0.1844748,-0.04793505,0.04716767,0.1521416,0.3234169,0.37508945,6
Alopochen_aegyptiaca,0.0614971088529271,Anatidae,ANSERIFORMES,-0.50640005,-0.436088,-0.1480583,0.06640855,0.2542681,0.578011,0.67882805,2
Amazonetta_brasiliensis,0.223037995263936,Anatidae,ANSERIFORMES,-0.3333301,-0.259965,0.01529162,0.2125333,0.4116318,0.7531782,0.83342185,1
Anas_acuta,-0.181704838795405,Anatidae,ANSERIFORMES,-0.44517815,-0.401681,-0.270611,-0.1771303,-0.08437812,0.02557755,0.068159445,8
Anas_americana,0.0669146505707183,Anatidae,ANSERIFORMES,-0.3739323,-0.2907389,-0.05964936,0.07380641,0.2063987,0.4210364,0.47340015,2
Anas_bahamensis,-0.0486815017938062,Anatidae,ANSERIFORMES,-0.5005311,-0.4367842,-0.1989535,-0.04293669,0.09633451,0.2998231,0.3768277,3
Anas_clypeata,-0.402079034592507,Anatidae,ANSERIFORMES,-1.2145385,-1.079689,-0.6848932,-0.4214617,-0.1445236,0.2095115,0.3132384,2
Anas_crecca,-0.47620756627001,Anatidae,ANSERIFORMES,-1.3080495,-1.169721,-0.6919417,-0.4505414,-0.2368627,0.004265498,0.093876045,2
Anas_cyanoptera,-0.345512308353746,Anatidae,ANSERIFORMES,-1.1859895,-1.026571,-0.5926158,-0.3369111,-0.108795,0.2987164,0.40896625,2
Anas_falcata,0.325552233461139,Anatidae,ANSERIFORMES,-0.24907715,-0.1412335,0.1363966,0.3200194,0.5061453,0.7509138,0.8198733,1
Anas_flavirostris,-0.382256301787213,Anatidae,ANSERIFORMES,-1.096753,-0.9847173,-0.61629,-0.365543,-0.1410032,0.1952152,0.29425325,2
Anas_fulvigula,-0.48840943257043,Anatidae,ANSERIFORMES,-1.2999145,-1.150774,-0.708225,-0.4512119,-0.2430598,-0.01468401,0.05346302,4
Anas_georgica,-0.145376475548052,Anatidae,ANSERIFORMES,-0.63755375,-0.540048,-0.2958251,-0.1322346,0.01570222,0.2263119,0.2786624,3
Anas_melleri,-0.526975749719281,Anatidae,ANSERIFORMES,-1.176418,-1.070835,-0.7099127,-0.4957478,-0.314264,-0.09903076,-0.047728655,6
Anas_penelope,0.160585691842757,Anatidae,ANSERIFORMES,-0.11919385,-0.06961416,0.07723121,0.1591036,0.2471435,0.381934,0.4236636,6
Anas_platyrhynchos,0.011755414742957,Anatidae,ANSERIFORMES,-0.17904955,-0.1534564,-0.05225413,0.01388377,0.07600292,0.1662998,0.2004866,17
Anas_poecilorhyncha,-0.402981152675325,Anatidae,ANSERIFORMES,-0.9004916,-0.7720112,-0.5332398,-0.3933353,-0.2558583,-0.09965021,-0.05637199,6
Anas_sparsa,-0.146337546479321,Anatidae,ANSERIFORMES,-0.7079012,-0.6193616,-0.3251498,-0.1419077,0.04438516,0.3200729,0.39693425,1
Anas_superciliosa,-0.221085126110689,Anatidae,ANSERIFORMES,-0.57952745,-0.5173954,-0.3222455,-0.2121014,-0.1162346,0.03636101,0.074075235,8
Anser_albifrons,0.153947339066633,Anatidae,ANSERIFORMES,-0.1709208,-0.1182751,0.04237746,0.1542744,0.2679021,0.430025,0.4919652,4
Anser_anser,-0.0410945134325674,Anatidae,ANSERIFORMES,-0.3055308,-0.2641219,-0.1264253,-0.03396275,0.06524795,0.1906276,0.238239,7
Anser_cygnoides,-0.0102761141247752,Anatidae,ANSERIFORMES,-0.3126661,-0.2633831,-0.1058877,-0.001700588,0.1044197,0.2497755,0.29609935,5
Aythya_americana,-0.272017476407592,Anatidae,ANSERIFORMES,-1.0585405,-0.9554567,-0.5776412,-0.2779354,-0.002369572,0.4074229,0.5183696,1
Aythya_ferina,0.0704443416271728,Anatidae,ANSERIFORMES,-0.2264754,-0.1770496,-0.02462436,0.07505399,0.170192,0.3138053,0.3822719,6
Branta_canadensis,0.0678523323845155,Anatidae,ANSERIFORMES,-0.19732165,-0.1544199,-0.04060436,0.06099179,0.1586089,0.2815866,0.3252911,7
Chloephaga_melanoptera,0.157821837898981,Anatidae,ANSERIFORMES,-0.48661745,-0.377466,-0.06182394,0.1537608,0.3887067,0.7111729,0.79170365,1
Cygnus_columbianus,-0.351721265548452,Anatidae,ANSERIFORMES,-1.2818345,-1.040314,-0.6108489,-0.3206599,-0.08479395,0.2720782,0.4507816,1
Cygnus_cygnus,-0.092685959153946,Anatidae,ANSERIFORMES,-0.70056635,-0.6129418,-0.3063053,-0.1175829,0.08991466,0.3895106,0.48536305,2
Neochen_jubata,-0.501022167663536,Anatidae,ANSERIFORMES,-1.1726075,-1.043952,-0.6941298,-0.4717507,-0.2513149,0.05293285,0.1834468,1
Netta_peposaca,-0.122940859951049,Anatidae,ANSERIFORMES,-0.45629085,-0.4163498,-0.2445431,-0.1226772,-0.007880186,0.1792361,0.24291215,3
Tadorna_ferruginea,-0.350301349948551,Anatidae,ANSERIFORMES,-1.1885485,-1.036686,-0.6301526,-0.3555874,-0.07727085,0.294892,0.3908116,1
Crax_alberti,0.381736906374026,Cracidae,GALLIFORMES,-0.24735295,-0.1515809,0.1756387,0.4005928,0.6291294,0.9348169,1.079485,2
Tetrao_tetrix,-0.0310495529060939,Phasianidae,GALLIFORMES,-0.48843685,-0.4074462,-0.185084,-0.01732149,0.1439013,0.3800704,0.4569839,2
Alectoris_rufa,-0.339571941160949,Phasianidae,GALLIFORMES,-1.1662535,-1.038606,-0.6052691,-0.349954,-0.1084086,0.3172911,0.5070592,1
Callipepla_squamata,-0.313727431395604,Odontophoridae,GALLIFORMES,-0.77117,-0.6899665,-0.45548,-0.289369,-0.1353329,0.09924692,0.17113855,3
Callipepla_gambelii,-0.268863778723776,Odontophoridae,GALLIFORMES,-0.7667706,-0.6864953,-0.4239852,-0.2556898,-0.08228788,0.1383044,0.22018125,2
Syrmaticus_ellioti,0.313673865599301,Phasianidae,GALLIFORMES,-0.06492037,-0.007960498,0.189932,0.3258014,0.482734,0.6920811,0.7380365,3
Argusianus_argus,0.483263535216783,Phasianidae,GALLIFORMES,-0.26608105,-0.1467732,0.2386253,0.4853428,0.7092821,1.109719,1.25728,1
Syrmaticus_mikado,0.174620135257443,Phasianidae,GALLIFORMES,-0.31779645,-0.2287633,0.003707867,0.1573167,0.3160065,0.5392175,0.5940506,3
