generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
990001,Polyodon_spathula,Chitala_chitala,0,0.0809837,0,0.0349379,0
990001,Cottus_princeps,Cottus_greenei,329.461,0.454347,-0.0165212,0.0127835,0
990001,Ammocrypta_vivax,Percina_smithvanizi,305.15,0.220839,-0.0195385,0.00641579,0
990001,Tilapia_rendalli,Chilochromis_duponti,317.181,0.653179,-0.0490676,0.0787909,0
990001,Pomatoschistus_pictus,Pseudaphya_ferreri,320.527,0.234459,-0.0216296,0.0737813,0
990001,Microstomus_kitt,Hippoglossoides_dubius,323.945,0.793019,-0.057466,0.213289,0
990001,Sebastes_proriger,Sebastes_ciliatus,335.397,0.855284,-0.065868,0.107713,0
990001,Amia_calva,NA,307.776,1.18726,-0.216066,0.496794,0
990001,Vieja_tuyrensis,Amphilophus_robertsoni,325.897,1.45583,-0.0541316,0.648419,0
990001,Halichoeres_hortulanus,Halichoeres_semicinctus,294.441,0.145551,-0.0153678,0.000951369,0
990001,Pseudochromis_flavivertex,Pseudochromis_bitaeniatus,296.039,0.893121,-0.322345,0.0246956,0
990001,Pseudobarbus_asper,Catlocarpio_siamensis,299.863,0.288986,-0.0348743,0.00447306,0
990001,Sabanejewia_larvata,Misgurnus_fossilis,305.911,0.293965,-0.0244275,0.0253975,0
990001,Thysanactis_dentex,Idiacanthus_fasciola,305.287,0.841634,-0.0514844,0.201839,0
990001,Aulostomus_chinensis,Aeoliscus_strigatus,238.581,1.8562,-0.0655323,0.25383,0
990001,Hyporthodus_flavolimbatus,Hyporthodus_acanthistius,314.953,0.372787,-0.0480918,0.00347208,0
990001,Denticeps_clupeoides,NA,206.438,1.54915,-0.19541,0.0451156,0
990001,Macrochirichthys_macrochirus,Acheilognathus_tabira_tabira,287.124,0.177115,-0.00877491,0.00255033,0
990001,Elopichthys_bambusa,Hypophthalmichthys_nobilis,321.775,0.366246,-0.142826,0.00537251,0
990001,Qianlabeo_striatus,Discogobio_yunnanensis,326.766,0.398855,-0.0682381,0.0104514,0
990001,Galaxias_maculatus,NA,340.944,0.495657,0.0254971,1.28294,0
990001,Acanthurus_pyroferus,Acanthurus_bahianus,329.388,0.654091,-0.19353,0.0305938,0
990001,Terapon_theraps,Leiopotherapon_unicolor,334.418,2.7921,-0.221287,0.950667,0
990001,Fundulus_majalis,Anableps_anableps,272.004,0.213047,-0.00862404,0.050235,0
990001,Cichla_jariina,Cichla_orinocensis,331.133,2.03212,-0.0145591,1.75124,0
990001,Sarcocheilichthys_kiangsiensis,NA,334.885,0.780958,-0.83729,0.3825,0
990001,Halieutichthys_aculeatus,Ogcocephalus_parvus,314.168,0.961461,-0.0798249,0.303482,0
990001,Lutjanus_fulviflamma,Lutjanus_bohar,315.849,0.574817,-0.0598575,0.0700816,0
990001,Aphyosemion_splendopleure,Aphyosemion_volcanum,341.307,0.510026,0.289017,0.0798304,0
990001,Coregonus_artedi,Coregonus_chadary,335.244,1.4633,-0.0768437,0.676653,0
990001,Crystallichthys_cyclospilus,Liparis_rutteri,321.738,0.501044,-0.00256235,0.238657,0
990001,Astyanax_orthodus,Astyanax_jordani,339.934,1.34805,-0.0595662,0.459529,0
990001,Elacatinus_randalli,Elacatinus_chancei,323.854,0.327483,-0.0164737,0.0471713,0
990001,Polyodon_spathula,NA,338.379,0.0636841,-0.00245778,1.21799,0
990001,Hypoplectrus_gemma,Hypoplectrus_guttavarius,340.633,2.3325,-0.279826,0.303351,0
990001,Schizothorax_pseudoaksaiensis_pseudoaksaiensis,Schizothorax_oconnori,327.56,1.93576,-0.169411,0.455163,0
990001,Bangana_behri,Labeo_bata,328.093,0.749447,-0.0816993,0.421485,0
990001,Echiichthys_vipera,Trachinus_collignoni,317.679,1.47464,-0.267304,0.184795,0
990001,Uroconger_syringinus,Uroconger_lepturus,323.52,1.31973,-0.174022,0.260588,0
990001,Acnodon_normani,NA,341.098,0.307386,-0.164656,0.346922,0
990001,Anaspidoglanis_macrostomus,NA,343.014,0.599042,0.0325203,0.408841,0
990001,Lythrypnus_dalli,NA,330.043,0.267599,-0.00395951,0.405311,0
990001,Fundulus_majalis,NA,342.046,0.949743,0.00511421,2.0442,0
990001,Branchiostegus_argentatus,Branchiostegus_albus,337.758,0.329032,0.0350015,0.330424,0
990001,Chanos_chanos,NA,283.072,1.29526,-0.0791035,0.357005,0
990001,Hippocampus_comes,Hippocampus_sindonis,315.52,0.899441,-0.0376686,0.378399,0
990001,Ponticola_syrman,Mesogobius_batrachocephalus,313.807,0.53234,0.00422579,0.539858,0
990001,Tripterygion_tripteronotum,NA,330.514,0.156347,-0.287725,0.0817339,0
990001,Gymnocypris_potanini,Gymnocypris_waddellii,334.986,0.63581,0.00464742,0.440686,0
990001,Cryptacanthodes_giganteus,Hexagrammos_lagocephalus,294.019,0.311505,-0.0215407,0.0527021,0
990001,Paralabrax_albomaculatus,NA,333.257,1.87943,-0.127091,1.34905,0
990001,Tanichthys_albonubes,NA,336.178,0.644904,0.111159,1.59818,0
990001,Malacocephalus_laevis,Coryphaenoides_subserrulatus,292.779,0.354776,-0.00222481,0.239176,0
990001,Chromis_limbata,NA,344.448,0.494052,0.0683055,1.45828,0
990001,Barbus_reinii,Tor_sinensis,328.021,1.89107,-0.0698627,0.694879,0
990001,Melanotaenia_affinis,Melanotaenia_japenensis,326.161,0.461628,-0.0360802,0.154343,0
990001,Aethotaxis_mitopteryx_mitopteryx,Channichthys_rhinoceratus,312.394,0.501117,-0.036343,0.0989591,0
990001,Exodon_paradoxus,Acestrorhynchus_falcirostris,284.473,0.448328,-0.011103,0.226512,0
990001,Sarotherodon_galilaeus_multifasciatus,Sarotherodon_galilaeus_sanagaensis,337.947,0.963172,-0.0251143,0.348911,0
990001,Kryptolebias_marmoratus,Plesiolebias_aruana,291.216,0.234784,-0.0151453,0.0624174,0
990001,Sinibotia_robusta,Syncrossus_helodes,316.379,0.724652,-0.0405006,0.223147,0
990001,Schizothorax_oconnori,Schizothorax_rotundimaxillaris,333.845,1.10049,-0.0175661,0.712803,0
990001,Otocinclus_vestitus,Hemiancistrus_hammarlundi,303.898,0.128897,0.0104177,0.0060231,0
990001,Cottus_princeps,NA,341.452,0.118105,0.00777577,1.45306,0
990001,Synodontis_zambezensis,Synodontis_batesii,328.34,1.18796,-0.124567,0.0979317,0
990001,Prochilodus_nigricans,Hemiodus_gracilis,271.695,0.0271773,0.0296557,0.0237322,0
990001,Xiphophorus_birchmanni,Xiphophorus_mayae,333.294,0.949098,-0.110775,0.0389193,0
990001,Schistura_bucculenta,Schistura_fasciolata,308.28,0.156207,-0.00870014,0.00689307,0
990001,Corydoras_oiapoquensis,Corydoras_melini,311.778,0.35091,-0.0458358,0.00215084,0
990001,Oncorhynchus_kisutch,Brachymystax_lenok,313.229,0.484926,-0.0126741,0.157063,0
990001,Scoloplax_distolothrix,NA,339.751,0.465472,0.142753,1.26351,0
990001,Monocirrhus_polyacanthus,NA,340.274,0.763994,-0.349153,0.9359,0
990001,Pantodon_buchholzi,NA,333.957,0.0352173,-0.0384515,0.376136,0
990001,Coelorinchus_multispinulosus,Coelorinchus_productus,333.281,0.464923,-0.0061603,0.242218,0
990001,Barbourisia_rufa,NA,327.324,0.632058,-0.00198687,1.11965,0
990001,Platygobio_gracilis,Macrhybopsis_aestivalis,317.71,0.577255,-0.0881653,0.00793655,0
990001,Gobiomorphus_basalis,Gobiomorphus_breviceps,337.524,0.871364,-0.134671,0.163474,0
990001,Chaetodon_adiergastos,Chaetodon_interruptus,312.744,0.484713,-0.0621518,0.0405069,0
990001,Culter_oxycephaloides,Xenocypris_yunnanensis,326.172,0.69993,-0.106753,0.0265607,0
990001,Helicophagus_typus,Helicophagus_leptorhynchus,342.89,2.437,-0.165247,1.17992,0
990001,Acipenser_oxyrinchus_oxyrinchus,NA,338.309,0.729436,-0.361709,1.04549,0
990001,Capoeta_barroisi,Aulopyge_huegelii,322.232,0.477885,-0.0542939,0.0480114,0
990001,Takifugu_vermicularis,Takifugu_pardalis,340.581,1.78449,-0.136448,0.572427,0
990001,Gillichthys_seta,NA,342.03,0.581876,-0.257699,0.656785,0
990001,Lycodes_brevipes,Lycodes_cortezianus,333.161,0.937268,-0.122006,0.00679105,0
990001,Marcusenius_ntemensis,Pollimyrus_adspersus,324.816,1.45269,-0.0435787,0.691586,0
990001,Hydrolycus_scomberoides,NA,340.947,1.57269,-0.311165,1.61586,0
990001,Leiocassis_longirostris,Leiocassis_crassilabris,341.619,1.24564,-0.121754,0.26442,0
990001,Hexanematichthys_sagor,Hemiarius_sona,325.505,0.487354,-0.0821848,0.00501039,0
990001,Gasterochisma_melampus,NA,340.507,0.609646,-0.0739824,0.976456,0
990001,Haemulon_squamipinna,Haemulon_bonariense,325.032,1.4601,-0.102785,0.311722,0
990001,Paralabrax_albomaculatus,Paralabrax_maculatofasciatus,326.222,1.39071,-0.384956,0.0451471,0
990001,Sinocyclocheilus_xunlensis,Sinocyclocheilus_bicornutus,315.791,0.46291,-0.0247981,0.117647,0
990001,Clarias_stappersii,Heterobranchus_isopterus,323.908,0.880508,-0.0442653,0.384655,0
990001,Niwaella_brevifasciata,Cobitis_dolichorhynchus,326.901,0.324833,-0.00224202,0.0904057,0
990001,Corydoras_serratus,Corydoras_vittatus,340.401,1.13157,-0.403364,0.166804,0
990001,Brycinus_affinis,Brycinus_longipinnis,308.169,0.653971,-0.0246431,0.306687,0
990001,Mystus_oculatus,NA,343.566,0.0440819,-0.178079,0.85273,0
990001,Catostomus_bernardini,Minytrema_melanops,320.003,0.703704,-0.0956825,0.00101217,0
990001,Lesueurina_platycephala,NA,338.701,1.40074,-0.232317,1.73949,0
990001,Chaetodon_baronessa,NA,336.451,0.000772434,-0.29367,0.0637628,0
990001,Alburnoides_bipunctatus,Ballerus_ballerus,322.598,0.40886,-0.0371927,0.0409482,0
990001,Regalecus_glesne,Desmodema_lorum,284.217,0.974807,-0.0294587,0.366969,0
990001,Doras_punctatus,Leptodoras_praelongus,319.892,0.590543,-0.0880244,0.0261343,0
990001,Neolamprologus_cylindricus,Grammatotria_lemairii,330.981,0.57381,-0.0333142,0.042756,0
990001,Salminus_brasiliensis,Brycon_atrocaudatus,284.019,0.0590592,0.0215239,0.0330235,0
990001,Abudefduf_declivifrons,Mecaenichthys_immaculatus,286.711,0.413873,-0.0207008,0.0975498,0
990001,Exocoetus_volitans,Cheilopogon_agoo,318.676,0.785722,-0.0298697,0.378458,0
990001,Yasuhikotakia_eos,NA,343.773,1.25838,-0.0229463,0.232825,0
990001,Noturus_exilis,Noturus_gilberti,327.293,1.40397,-0.176216,0.0784157,0
990001,Oryzias_javanicus,NA,330.844,0.817514,-0.167486,0.0422679,0
990001,Fodiator_rostratus,Fodiator_acutus,338.954,0.315117,0.248788,0.550801,0
990001,Aboma_etheostoma,NA,318.053,0.332532,-0.0334124,0.182942,0
990001,Mullus_barbatus_ponticus,NA,344.71,0.760043,0.0222905,0.0806846,0
990001,Acheilognathus_typus,NA,341.524,0.331308,-0.156248,0.412969,0
990001,Cheilodactylus_variegatus,NA,344.884,0.472249,0.0250994,0.681801,0
990001,Thalassenchelys_coheni,NA,344.495,0.707632,-0.03468,0.492979,0
990001,Dallia_pectoralis,NA,315.773,1.07281,-0.12919,0.327075,0
990001,Elacatinus_digueti,Elacatinus_nesiotes,330.816,0.203606,-0.00131205,0.0768108,0
990001,Cottus_amblystomopsis,Cottus_nozawae,343.429,1.07182,-0.248978,1.06314,0
1990001,Polyodon_spathula,Chitala_chitala,0,0.0645966,0,0.015129,0
1990001,Cottus_princeps,Cottus_greenei,329.299,0.869166,-0.0260215,0.440702,0
1990001,Percina_smithvanizi,Etheostoma_kanawhae,310.82,0.370609,-0.0482824,0.0260088,0
1990001,Tilapia_rendalli,Chilochromis_duponti,318.734,0.241101,-0.00655954,0.0328444,0
1990001,Doras_punctatus,Leptodoras_praelongus,323.344,0.760336,-0.118423,0.0519822,0
1990001,Merluccius_senegalensis,Merluccius_bilinearis,325.253,1.40724,-0.038638,0.928769,0
1990001,Sebastes_matsubarai,Sebastes_proriger,335.164,1.2412,-0.107325,0.224152,0
1990001,Amia_calva,NA,144.633,0.0958257,-0.136427,0.0286168,0
